ch1.canDo.0.ja	イベントなどに関する記事を読んで、その特色や様子が理解できる。
ch3.parts.0.points.2.examples.0.ja	営業部は営業部なりに{頑張|がんば}っているんだろうが、売り上げはなかなか伸びていない。
ch3.parts.0.points.2.examples.1.ja	あの子は幼いなりに親を助けようと、いろいろ努力している。
ch3.parts.0.points.2.examples.2.ja	お金がなければないなりに、楽しみ方はあるものだ。
ch3.parts.0.points.2.examples.3.ja	この1年貯めたお金がそれなりの額になったから、親を旅行に連れて行こうと思っている。
ch3.parts.0.points.2.examples.4.ja	日本語が上達したらしたなりに、新しい疑問が次から次へと出てくる。
ch3.parts.0.points.2.formNotes.0.ja	＊「それなり」「〜ば〜なり」という言い方もある。
ch3.parts.0.points.2.forms.0	[Pl] + なりに
ch3.parts.0.points.2.forms.1	[Pl] + なりの + [N]
ch3.parts.0.points.2.forms.2	［[なA~~だ~~]　[N~~だ~~]］
ch3.parts.0.points.2.no	18
ch3.parts.0.points.2.pattern	〜なりに
ch3.parts.0.points.2.phrase	{俺|おれ}**なりに**
ch3.parts.0.points.2.practice.0.items.0.answer	0
ch3.parts.0.points.2.practice.0.items.0.options.0	楽しみがある
ch3.parts.0.points.2.practice.0.items.0.options.1	ずいぶん違う
ch3.parts.0.points.2.practice.0.items.0.q	{若者|わかもの}には{若者|わかもの}なりの、老人には老人なりの（　）。
ch3.parts.0.points.2.practice.0.items.1.answer	0
ch3.parts.0.points.2.practice.0.items.1.options.0	快適に過ごせます
ch3.parts.0.points.2.practice.0.items.1.options.1	{収納|しゅうのう}スペースに困ります
ch3.parts.0.points.2.practice.0.items.1.q	狭い部屋は狭いなりに（　）よ。
ch3.parts.0.points.2.practice.0.items.2.answer	1
ch3.parts.0.points.2.practice.0.items.2.options.0	努力しきれなかったんです
ch3.parts.0.points.2.practice.0.items.2.options.1	努力したんです
ch3.parts.0.points.2.practice.0.items.2.q	A：{本田|ほんだ}君！　何なんだ！　この営業成績は。
B：すみません。{僕|ぼく}なりに（　）。でも……。
ch3.parts.0.points.2.practice.0.items.3.answer	1
ch3.parts.0.points.2.practice.0.items.3.options.0	優勝できる
ch3.parts.0.points.2.practice.0.items.3.options.1	上手になる
ch3.parts.0.points.2.practice.0.items.3.q	{誰|だれ}でも練習すればしたなりに、（　）ものだ。
ch3.parts.0.points.2.practice.0.prompt.ja	
ch3.parts.0.points.2.practice.0.type	choice
ch3.parts.0.points.2.stars	3
ch3.parts.0.points.2.usage.ja	「〜なりに」は「自分なりに工夫して作る」のように「〜の立場やレベルに応じて」と言いたいときに使う。「子どもなりにがんばっている」のように「〜（子ども）は十分ではないができるだけ」と言いたいときにも使う。
ch3.parts.0.points.3.examples.0.ja	A：ぜひにと言われれば飲まないでもないんですが、最近酒は{控|ひか}えているんです。
B：じゃあ、まあ、少しだけ……。
ch3.parts.0.points.3.examples.1.ja	彼が犯人だという{証拠|しょうこ}はないでもないが、まだ{断定|だんてい}はできない。
ch3.parts.0.points.3.examples.2.ja	君がそんなに頼むんだったら、今回だけ特別に認めないものでもないんだけどね。
ch3.parts.0.points.3.examples.3.ja	お寺まで歩いて行けなくもないですが、{山道|やまみち}だし、ちょっと大変ですよ。
ch3.parts.0.points.3.formNotes.0.ja	＊「〜ないものでもない」「〜なくもない」の形も使われる。
ch3.parts.0.points.3.forms.0	[V-~~ない~~] + ないでもない
ch3.parts.0.points.3.no	19
ch3.parts.0.points.3.pattern	〜ないでもない
ch3.parts.0.points.3.phrase	もらわ**ないでもない**
ch3.parts.0.points.3.practice.0.items.0.answer	2
ch3.parts.0.points.3.practice.0.items.0.options.0	代わりたいが、代われない
ch3.parts.0.points.3.practice.0.items.0.options.1	絶対に代わってやる
ch3.parts.0.points.3.practice.0.items.0.options.2	代わってやってもいい
ch3.parts.0.points.3.practice.0.items.0.q	あなたが会の司会が{嫌|いや}だと言うならば、私が__代わってやらないでもない__。
ch3.parts.0.points.3.practice.0.items.1.answer	1
ch3.parts.0.points.3.practice.0.items.1.options.0	受験の{意思|いし}がないので、受験はしない
ch3.parts.0.points.3.practice.0.items.1.options.1	受験の{意思|いし}があれば、受験できる
ch3.parts.0.points.3.practice.0.items.1.options.2	受験の{意思|いし}はあるが、もう受験できなくなった
ch3.parts.0.points.3.practice.0.items.1.q	{願書|がんしょ}は今日の{消印|けしいん}有効だから、今から出せば__受験できないものでもないですよ__。
ch3.parts.0.points.3.practice.0.prompt.ja	
ch3.parts.0.points.3.practice.0.type	choice
ch3.parts.0.points.3.stars	2
ch3.parts.0.points.3.usage.ja	「〜ないでもない」は「高い気がしないでもない」のように「〜だ（高い気がする）」とはっきり言い切りたくないときに使われる。「ぜひと頼まれれば、引き受けないでもない」のように「条件が合えば〜する（引き受ける）可能性はゼロではない」と言うときにも使われる。
ch3.parts.0.points.4.examples.0.ja	彼は金にルーズで、{方々|ほうぼう}で借金を重ね、あげくの{果|は}てに会社の金を使い込んで{解雇|かいこ}されるしまつだ。
ch3.parts.0.points.4.examples.1.ja	「面倒くさい」が{口癖|くちぐせ}の母は、歩いて5分のスーパーに行くのにも車を使い、ついに運動{不足|ぶそく}で医者に{叱|しか}られるしまつだ。
ch3.parts.0.points.4.examples.2.ja	あの女は子どものころから{嘘|うそ}ばかりついていて、最後には{詐欺|さぎ}で捕まるしまつだ。
ch3.parts.0.points.4.examples.3.ja	友人は6回も{転職|てんしょく}しながら、まだ「自分の才能を{生|い}かせる会社はない」と言っているしまつで、周囲もあきれている。
ch3.parts.0.points.4.examples.4.ja	うちの弟、いつもゲームに夢中で、電話が鳴っていても気づかないしまつなんですよ。
ch3.parts.0.points.4.forms.0	[V-る]／[V-ない] + しまつだ
ch3.parts.0.points.4.marks.0	regret
ch3.parts.0.points.4.no	20
ch3.parts.0.points.4.pattern	〜しまつだ
ch3.parts.0.points.4.phrase	言う**しまつ**で
ch3.parts.0.points.4.stars	1
ch3.parts.0.points.4.usage.ja	「〜しまつだ」は、それまでの{経緯|けいい}を説明して、「良くないことが続き、結局〜という悪い結果になった」ということを表す。話し手の非難や残念な気持ちを表す。
ch3.parts.0.points.5.examples.0.ja	目が悪いなら、{眼鏡|めがね}なりコンタクトなりすればいいのに。
ch3.parts.0.points.5.examples.1.ja	今日は{俺|おれ}のおごりだから、{牛丼|ぎゅうどん}なりカレーなり、好きに注文していいよ。
ch3.parts.0.points.5.examples.2.ja	休みの日ぐらい仕事のことは忘れて、映画を見るなり、買い物をするなり、好きなことをして{息抜|いきぬ}きすれば？
ch3.parts.0.points.5.examples.3.ja	そんなに1人{暮|ぐ}らししたいなら、外国へなりどこへなり、行きたいところに行けばいいだろう。
ch3.parts.0.points.5.examples.4.ja	食品の安全基準を見直すなり何なりして、より安全に暮らせるように考えてほしい。
ch3.parts.0.points.5.formNotes.0.ja	＊[N₂]／[V₂-る]には「何・どこ（へ）・{誰|だれ}」などの{疑問詞|ぎもんし}を使うこともある。
ch3.parts.0.points.5.forms.0	［[N₁]（＋{助詞|じょし}）　[V₁-る]］ + なり + ［[N₂]（＋{助詞|じょし}）　[V₂-る]］ + なり
ch3.parts.0.points.5.no	21
ch3.parts.0.points.5.pattern	〜なり〜なり
ch3.parts.0.points.5.phrase	掃除**なり**洗濯**なり**
ch3.parts.0.points.5.practice.0.items.0.answer	1
ch3.parts.0.points.5.practice.0.items.0.options.0	わかる
ch3.parts.0.points.5.practice.0.items.0.options.1	辞書を引く
ch3.parts.0.points.5.practice.0.items.0.q	わからないことは、人に聞くなり（　）なりしてみてください。
ch3.parts.0.points.5.practice.0.items.1.answer	0
ch3.parts.0.points.5.practice.0.items.1.options.0	電話
ch3.parts.0.points.5.practice.0.items.1.options.1	連絡
ch3.parts.0.points.5.practice.0.items.1.q	時間に遅れる場合は、メールなり（　）なりしてください。
ch3.parts.0.points.5.practice.0.prompt.ja	
ch3.parts.0.points.5.practice.0.type	choice
ch3.parts.0.points.5.stars	2
ch3.parts.0.points.5.usage.ja	「AなりBなり」は「AでもBでも（何でもいい）」と思いついた例を{挙|あ}げるときに使われる。相手に{提案|ていあん}したり、アドバイスや注意をしたりする場合に使われることが多い。
ch3.parts.0.points.6.examples.0.ja	ご主人の{昇進|しょうしん}や娘さんの結婚など、{山田|やまだ}さんの家はいいことずくめだ。
ch3.parts.0.points.6.examples.1.ja	私の学校は規則ずくめで、息がつまりそうだ。
ch3.parts.0.points.6.examples.2.ja	{目撃者|もくげきしゃ}の{証言|しょうげん}によると、犯人は身長180cm程度、全身黒ずくめで{銃|じゅう}を{所持|しょじ}していたということです。
ch3.parts.0.points.6.examples.3.ja	今年のわが県のスポーツ選手は{活躍|かつやく}が目覚ましく、サッカーチームは優勝するし、マラソン選手はオリンピック代表に決まるし、{結構|けっこう}ずくめな年となりました。
ch3.parts.0.points.6.formNotes.0.ja	＊「黒・白・いいこと・失敗・ごちそう・規則」などの決まった言葉と一緒に使われる。
ch3.parts.0.points.6.forms.0	[N] + ずくめ
ch3.parts.0.points.6.no	22
ch3.parts.0.points.6.pattern	〜ずくめ
ch3.parts.0.points.6.phrase	{結構|けっこう}**ずくめ**な話
ch3.parts.0.points.6.stars	1
ch3.parts.0.points.6.usage.ja	「〜ずくめ」は「大部分が〜で占められている／〜が連続する」ことを表す。
ch3.parts.0.points.7.examples.0.ja	彼は大学の教授にして、有名な作家でもある。
ch3.parts.0.points.7.examples.1.ja	彼女のデザインする服は、どれも{個性的|こせいてき}にして{実用的|じつようてき}だと{定評|ていひょう}がある。
ch3.parts.0.points.7.examples.2.ja	{怪盗|かいとう}と呼ばれた男の{犯行|はんこう}の{手口|てぐち}は{大胆|だいたん}にして、かつ{繊細|せんさい}だった。
ch3.parts.0.points.7.forms.0	［[なA~~だ~~]　[N~~だ~~]］ + にして
ch3.parts.0.points.7.marks.0	formal
ch3.parts.0.points.7.no	23
ch3.parts.0.points.7.pattern	〜にして
ch3.parts.0.points.7.phrase	働き者**にして**美人
ch3.parts.0.points.7.stars	1
ch3.parts.0.points.7.usage.ja	「（〜は）AにしてBだ」は「〜にはA・B2つの面がある」ことを表す。
ch3.parts.0.points.8.examples.0.ja	彼は{真夏|まなつ}でも、エアコンはおろか、{扇風機|せんぷうき}さえ使わないそうだ。
ch3.parts.0.points.8.examples.1.ja	最近は、恋人はおろか友人さえ1人もいない人も珍しくないらしい。
ch3.parts.0.points.8.examples.2.ja	重い物を持とうとして腰を痛め、起き上がることはおろか、{寝返|ねがえ}りを打つこともできない{状態|じょうたい}だった。
ch3.parts.0.points.8.forms.0	[N₁] + はおろか + [N₂] + も／さえ／まで／すら + …ない
ch3.parts.0.points.8.marks.0	regret
ch3.parts.0.points.8.no	24
ch3.parts.0.points.8.pattern	〜はおろか
ch3.parts.0.points.8.phrase	食べ物**はおろか**{一滴|いってき}の水**すら**口にし**なかった**
ch3.parts.0.points.8.practice.0.items.0.answer	0
ch3.parts.0.points.8.practice.0.items.0.options.0	{挨拶|あいさつ}
ch3.parts.0.points.8.practice.0.items.0.options.1	{討論|とうろん}
ch3.parts.0.points.8.practice.0.items.0.q	アラビア語を習ったのに、{自己|じこ}紹介はおろか（　）も忘れてしまいました。
ch3.parts.0.points.8.practice.0.items.1.answer	1
ch3.parts.0.points.8.practice.0.items.1.options.0	旅行に行くお金
ch3.parts.0.points.8.practice.0.items.1.options.1	今日の食事代
ch3.parts.0.points.8.practice.0.items.1.q	彼は{給料日|きゅうりょうび}前で、家賃はおろか（　）にも困っているらしい。
ch3.parts.0.points.8.practice.0.prompt.ja	
ch3.parts.0.points.8.practice.0.type	choice
ch3.parts.0.points.8.stars	2
ch3.parts.0.points.8.usage.ja	「AはおろかB…ない」は「食事はおろか水さえ飲めない」のように「も・さえ・まで・すら」などと一緒に使い、「A（食事）はもちろん、それより程度の低いB（水）も…ない」と言いたいときに使われる。
ch3.parts.0.points.9.examples.0.ja	仕事が忙しすぎて、昼休みすら満足に取れない。
ch3.parts.0.points.9.examples.1.ja	本に夢中になって、{夜|よ}が{明|あ}けたことにすら気づかなかった。
ch3.parts.0.points.9.examples.2.ja	スピーチに慣れた人ですら、話し始めはどきどきするそうだ。
ch3.parts.0.points.9.examples.3.ja	夕べはすっかり{酔|よ}ってしまって、どうやって家に帰ったかすら思い出せない。
ch3.parts.0.points.9.examples.4.ja	予算{不足|ぶそく}で工事が{中断|ちゅうだん}されたまま、{再開|さいかい}されるかどうかすらわからない。
ch3.parts.0.points.9.formNotes.0.ja	＊「〜すら」の前の{助詞|じょし}は、後に続く{動詞|どうし}によって変わる。
ch3.parts.0.points.9.formNotes.1.ja	＊「〜か＋すら」の形も使われる。
ch3.parts.0.points.9.forms.0	[N] + （{助詞|じょし}） + すら
ch3.parts.0.points.9.no	25
ch3.parts.0.points.9.pattern	〜すら
ch3.parts.0.points.9.phrase	水**すら**口にしなかった
ch3.parts.0.points.9.practice.0.items.0.answer	0
ch3.parts.0.points.9.practice.0.items.0.options.0	南極
ch3.parts.0.points.9.practice.0.items.0.options.1	温泉
ch3.parts.0.points.9.practice.0.items.0.q	80歳の祖母は{好奇心|こうきしん}が強く、来年は（　）へすら出かけかねないと家族は心配している。
ch3.parts.0.points.9.practice.0.items.1.answer	0
ch3.parts.0.points.9.practice.0.items.1.options.0	専門家
ch3.parts.0.points.9.practice.0.items.1.options.1	受験生
ch3.parts.0.points.9.practice.0.items.1.q	（　）ですら解けない問題を{入試|にゅうし}に出すなんてひどすぎるよ。
ch3.parts.0.points.9.practice.0.items.2.answer	0
ch3.parts.0.points.9.practice.0.items.2.options.0	ジョギング
ch3.parts.0.points.9.practice.0.items.2.options.1	マラソン
ch3.parts.0.points.9.practice.0.items.2.q	（　）すらしたことがないのに、10kmも走れるわけがない。
ch3.parts.0.points.9.practice.0.items.3.answer	1
ch3.parts.0.points.9.practice.0.items.3.options.0	近所の人
ch3.parts.0.points.9.practice.0.items.3.options.1	家族
ch3.parts.0.points.9.practice.0.items.3.q	彼は、上司どころか（　）にすら相談せずに、会社を辞めてしまった。
ch3.parts.0.points.9.practice.0.prompt.ja	
ch3.parts.0.points.9.practice.0.type	choice
ch3.parts.0.points.9.stars	2
ch3.parts.0.points.9.usage.ja	「〜すら…」は「日曜日すら休めない」のように「他はもちろん〜（日曜日）も…（休めない）」と言いたいときに使われる。「〜さえ／〜も」と同じように使われる。{否定的|ひていてき}な状況で使うことが多い。
ch3.parts.0.sample.lines	昔、あるところに一人の男がいた。男は、けちなうえに{怠|なま}け{者|もの}で、掃除や洗濯もしなかった。だから、部屋はたいそう汚く、中に入れば体中ほこり**まみれ**になるほどで、どろぼうも逃げ出すありさまだった。友達は「いつまでもそんな暮らしを続けるのはよくない。早くお{嫁|よめ}さんをもらえ。」と言うのだが、男は友達の心配**をよそに**、「確かに家は汚いけれど、{俺|おれ}は{俺|おれ}**なりに**楽しく暮らしているよ。一人なら余計な金もかからないし。」と全く気にしていない。「まあ、何も食べない{嫁|よめ}ならもらわ**ないでもない**がね。」などと言う**しまつ**で、友達もあきれてそれ以上は何も言わなかった。ある日の夕方、男の家に若い女が{訪|たず}ねてきて、「どうか私をお{嫁|よめ}さんにしてください。掃除**なり**洗濯**なり**、※お{前様|まえさま}のおっしゃることは何でもします。それに私は物を食べません。」と言った。「それは{結構|けっこう}**ずくめ**な話だ。」と男は{大喜|おおよろこ}びして女を{嫁|よめ}にした。女は働き者**にして**美人、さらに食べ物**はおろか**{一滴|いってき}の水**すら**口にし**なかった**。{気立|きだ}ても良く、{文句|もんく}も言わずに男のために食事を作り、掃除や洗濯をした。おかげで男の身なりも家も、{見違|みちが}えるようにきれいになった。けちで{怠|なま}け{者|もの}の男からすると、これ以上の幸運はない。働き者の{嫁|よめ}をもらった男は、前よりもっと{怠|なま}け{者|もの}になった。※お{前様|まえさま}：昔使われた、相手を{丁寧|ていねい}に呼ぶ言い方。
ch3.parts.1.canDo.0.ja	{昔話|むかしばなし}の表現を楽しみながら、登場する人物の行動や出来事の{経緯|けいい}などが理解できる。
ch3.parts.1.check.0.bank.0	が最後
ch3.parts.1.check.0.bank.1	が早いか
ch3.parts.1.check.0.bank.2	とは
ch3.parts.1.check.0.items.0.answer	とは
ch3.parts.1.check.0.items.0.q	たった700円で、こんなにおなかいっぱい食べられる＿＿、いい店を見つけたね。
ch3.parts.1.check.0.items.1.answer	が早いか
ch3.parts.1.check.0.items.1.q	ライオンの{姿|すがた}が{視界|しかい}に入る＿＿、シマウマの群れは{猛|もう}スピードで走り出した。
ch3.parts.1.check.0.items.2.answer	が最後
ch3.parts.1.check.0.items.2.q	うちの弟はゲームを始めた＿＿、時間というものを忘れてしまうんです。
ch3.parts.1.check.0.prompt.ja	
ch3.parts.1.check.0.type	fill
ch3.parts.1.check.1.bank.0	かたがた
ch3.parts.1.check.1.bank.1	そばから
ch3.parts.1.check.1.bank.2	なり
ch3.parts.1.check.1.bank.3	にはおかない
ch3.parts.1.check.1.items.0.answer	そばから
ch3.parts.1.check.1.items.0.q	お前、{無駄遣|むだづか}いはやめると言った＿＿、新しいかばんを2つも買うなんて、どういうことだ。
ch3.parts.1.check.1.items.1.answer	にはおかない
ch3.parts.1.check.1.items.1.q	{裁判|さいばん}で犯罪被害者が、何としても{被告|ひこく}に罪を{償|つぐな}わせず＿＿と思うのは当然である。
ch3.parts.1.check.1.items.2.answer	かたがた
ch3.parts.1.check.1.items.2.q	{本日|ほんじつ}は、先生に合格のご報告＿＿、お礼に{伺|うかが}いました。
ch3.parts.1.check.1.items.3.answer	なり
ch3.parts.1.check.1.items.3.q	{連日|れんじつ}仕事に追われていた夫は、昨晩深夜に帰宅する＿＿、{玄関|げんかん}で倒れてしまったのです。
ch3.parts.1.check.1.prompt.ja	
ch3.parts.1.check.1.type	fill
ch3.parts.1.label	(2)
ch3.parts.1.points.0.examples.0.ja	お世話になった{先輩|せんぱい}のお宅へ、お礼かたがた新年のご{挨拶|あいさつ}に{伺|うかが}った。
ch3.parts.1.points.0.examples.1.ja	上司が入院したので、お見舞いかたがた仕事の進め方について相談に行った。
ch3.parts.1.points.0.examples.2.ja	先生、本日はご{無沙汰|ぶさた}のお{詫|わ}びかたがた、{就職|しゅうしょく}のご報告に参りました。
ch3.parts.1.points.0.formNotes.0.ja	＊「{挨拶|あいさつ}・お見舞い・報告・お礼・お祝い・おわび」などの言葉と一緒に使われることが多い。
ch3.parts.1.points.0.forms.0	[N] + かたがた
ch3.parts.1.points.0.marks.0	formal
ch3.parts.1.points.0.no	26
ch3.parts.1.points.0.pattern	〜かたがた
ch3.parts.1.points.0.phrase	お祝い**かたがた**
ch3.parts.1.points.0.plus.0.examples.0.ja	合格{祈願|きがん}のお参りがてら、{早咲|はやざ}きの{梅|うめ}を見に行きませんか。
ch3.parts.1.points.0.plus.0.examples.1.ja	散歩がてら、コンビニで牛乳買ってきたよ。
ch3.parts.1.points.0.plus.0.examples.2.ja	{出産|しゅっさん}した友達に、お祝いを届けがてら、会いに行った。
ch3.parts.1.points.0.plus.0.forms.0	[N]／[V-~~ます~~] + がてら
ch3.parts.1.points.0.plus.0.pattern	〜がてら
ch3.parts.1.points.0.plus.0.stars	1
ch3.parts.1.points.0.plus.0.usage.ja	「AがてらB」は「Aの機会を利用して、Bする」と言いたいときに使われる。A・Bには、移動に関係のある言葉がよく使われる。
ch3.parts.1.points.0.stars	1
ch3.parts.1.points.0.usage.ja	「AかたがたB」は「お見舞いかたがた会いに行く」のように「Aという目的（お見舞い）もあって、Bをする（会いに行く）」という意味を表す。Bには「{伺|うかが}う・行く・{訪|たず}ねる・来る」など移動に関係のある{動詞|どうし}がよく使われる。
ch3.parts.1.points.1.examples.0.ja	有名なコーヒーショップだと聞いてはいたが、コーヒー1杯2,000円とは{驚|おどろ}いたよ。
ch3.parts.1.points.1.examples.1.ja	外国での1人{暮|ぐ}らしがこんなに大変だとは思ってもみなかったよ。
ch3.parts.1.points.1.examples.2.ja	{内気|うちき}で{無口|むくち}だった彼女が女優になるとは、人生はわからないものだ。
ch3.parts.1.points.1.examples.3.ja	まさか君たちが結婚するとはねえ。学生時代はけんかばかりしていたじゃないか。
ch3.parts.1.points.1.examples.4.ja	あの優しそうな老人が、{強盗|ごうとう}事件の犯人だったとは。
ch3.parts.1.points.1.formNotes.0.ja	＊「〜とは。」と、後ろを省略することもある。
ch3.parts.1.points.1.forms.0	[Pl] + とは
ch3.parts.1.points.1.forms.1	［[なA]（だ）　[N]（だ）］
ch3.parts.1.points.1.no	27
ch3.parts.1.points.1.pattern	〜とは
ch3.parts.1.points.1.phrase	何も食べない人間がいる**とは**
ch3.parts.1.points.1.practice.0.answer.0	1
ch3.parts.1.points.1.practice.0.answer.1	0
ch3.parts.1.points.1.practice.0.answer.2	3
ch3.parts.1.points.1.practice.0.answer.3	2
ch3.parts.1.points.1.practice.0.left.0	1枚だけ買った宝くじが当たるとは、
ch3.parts.1.points.1.practice.0.left.1	ベッドの下にこんなにほこりがたまっていたとは、
ch3.parts.1.points.1.practice.0.left.2	高級ブランドのバッグが簡単に{壊|こわ}れるとは、
ch3.parts.1.points.1.practice.0.left.3	1週間で3キロも{太|ふと}るとは、
ch3.parts.1.points.1.practice.0.prompt.ja	
ch3.parts.1.points.1.practice.0.right.0	気づかなかった。
ch3.parts.1.points.1.practice.0.right.1	夢を見ているようだ。
ch3.parts.1.points.1.practice.0.right.2	一体何を食べたんだ。
ch3.parts.1.points.1.practice.0.right.3	{偽物|にせもの}だったのかな。
ch3.parts.1.points.1.practice.0.type	match
ch3.parts.1.points.1.stars	3
ch3.parts.1.points.1.usage.ja	「〜とは」は、意外な事実に対する話し手の{驚|おどろ}き・感心・あきれなどの気持ちを言いたいときに使われる。
ch3.parts.1.points.2.examples.0.ja	{警部|けいぶ}は{受話器|じゅわき}を置くなり、コートを{片手|かたて}に飛び出していった。
ch3.parts.1.points.2.examples.1.ja	彼女は立ち上がるなり、コップの水を彼の顔にかけた。
ch3.parts.1.points.2.examples.2.ja	王子はシンデレラを{一目|ひとめ}見るなり、恋に落ちてしまった。
ch3.parts.1.points.2.forms.0	[V-る] + なり
ch3.parts.1.points.2.no	28
ch3.parts.1.points.2.pattern	〜なり
ch3.parts.1.points.2.phrase	家を出る**なり**
ch3.parts.1.points.2.practice.0.items.0.answer	0
ch3.parts.1.points.2.practice.0.items.0.options.0	{発砲|はっぽう}した
ch3.parts.1.points.2.practice.0.items.0.options.1	話しかけた
ch3.parts.1.points.2.practice.0.items.0.q	警官は「{伏|ふ}せろ！」と叫ぶなり、犯人に向かって（　）。
ch3.parts.1.points.2.practice.0.items.1.answer	1
ch3.parts.1.points.2.practice.0.items.1.options.0	苦しんでいた
ch3.parts.1.points.2.practice.0.items.1.options.1	苦しみ出した
ch3.parts.1.points.2.practice.0.items.1.q	社長は料理を口にするなり、（　）。
ch3.parts.1.points.2.practice.0.items.2.answer	1
ch3.parts.1.points.2.practice.0.items.2.options.0	同じ作品を作った
ch3.parts.1.points.2.practice.0.items.2.options.1	{素晴|すば}らしいと言った
ch3.parts.1.points.2.practice.0.items.2.q	彼は、名人が作った{器|うつわ}を手に取るなり、（　）。
ch3.parts.1.points.2.practice.0.prompt.ja	
ch3.parts.1.points.2.practice.0.type	choice
ch3.parts.1.points.2.stars	2
ch3.parts.1.points.2.usage.ja	「〜なり…」は「〜という動作のすぐ後で…ということが起こる」と言いたいときに使われる。起きた出来事や他の人の意外な行動に{驚|おどろ}いたときに使われることが多い。
ch3.parts.1.points.3.examples.0.ja	雨には降られるわ、上司には{叱|しか}られるわ、ついていない1日だった。
ch3.parts.1.points.3.examples.1.ja	最近、{中村|なかむら}くん、どうしたんだろう。遅刻はするわ、宿題は忘れるわ……。
ch3.parts.1.points.3.examples.2.ja	例文は{難解|なんかい}だわ、字は小さいわ、こんな辞書、買う人いるのかな。
ch3.parts.1.points.3.examples.3.ja	料理はうまいわ、{眺|なが}めはいいわ、あの旅館は最高だったね。
ch3.parts.1.points.3.forms.0	[Pl₁] + わ + [Pl₂] + わ
［現在形のみ］　［現在形のみ］
ch3.parts.1.points.3.marks.0	casual
ch3.parts.1.points.3.no	29
ch3.parts.1.points.3.pattern	〜わ〜わ
ch3.parts.1.points.3.phrase	酒は飲む**わ**、ごろごろする**わ**
ch3.parts.1.points.3.stars	1
ch3.parts.1.points.3.usage.ja	「AわBわ」は、困ったり喜んだりする理由や状況を並べて言うときに使う。
ch3.parts.1.points.4.examples.0.ja	店員がドアを開けるが早いか、待っていた客がなだれ込んできた。
ch3.parts.1.points.4.examples.1.ja	{侍|さむらい}が{刀|かたな}に手をかけるが早いか、{敵|てき}は悲鳴を上げる間もなく倒れた。
ch3.parts.1.points.4.examples.2.ja	{魔法|まほう}使いが{呪文|じゅもん}を{唱|とな}えるが早いか、{王子|おうじ}はたちまち{蛙|かえる}に変わった。
ch3.parts.1.points.4.examples.3.ja	{田中|たなか}さんは疲れていたのか、電車に乗ったが早いか、いびきをかいて{爆睡|ばくすい}してしまった。
ch3.parts.1.points.4.forms.0	[V-る]／[V-た] + が早いか
ch3.parts.1.points.4.no	30
ch3.parts.1.points.4.pattern	〜が早いか
ch3.parts.1.points.4.phrase	米が{炊|た}ける**が早いか**
ch3.parts.1.points.4.practice.0.items.0.answer	0
ch3.parts.1.points.4.practice.0.items.0.options.0	12時の{鐘|かね}がなるとすぐ、{馬車|ばしゃ}はカボチャに戻った。
ch3.parts.1.points.4.practice.0.items.0.options.1	12時の{鐘|かね}が鳴るより早く、{馬車|ばしゃ}はカボチャに戻った。
ch3.parts.1.points.4.practice.0.items.0.q	12時の{鐘|かね}が鳴るが早いか、美しい{馬車|ばしゃ}はあっという間にカボチャに戻った。
ch3.parts.1.points.4.practice.0.items.1.answer	1
ch3.parts.1.points.4.practice.0.items.1.options.0	受付時間になるのを待っている間に、電話がかかってきた。
ch3.parts.1.points.4.practice.0.items.1.options.1	受付時間になるかならないかのうちに、電話がかかってきた。
ch3.parts.1.points.4.practice.0.items.1.q	受付時間になるが早いか、{待|ま}ち{構|かま}えていたように電話が鳴り出した。
ch3.parts.1.points.4.practice.0.items.2.answer	0
ch3.parts.1.points.4.practice.0.items.2.options.0	子どもたちは母親がいる間はゲームをしなかった。
ch3.parts.1.points.4.practice.0.items.2.options.1	子どもたちは母親が早い時間に出かけたので、ゲームをした。
ch3.parts.1.points.4.practice.0.items.2.q	母親が出かけるが早いか、子どもたちはゲームを始めた。
ch3.parts.1.points.4.practice.0.prompt.ja	
ch3.parts.1.points.4.practice.0.type	choice
ch3.parts.1.points.4.stars	2
ch3.parts.1.points.4.usage.ja	「〜が早いか…」は「〜なり」と同じように「〜の直後、ほとんど同時に…ということが起こる」と言いたいときに使われる。「…」が起こるまでの時間が非常に短いことを{驚|おどろ}いて話すときに使うことが多い。
ch3.parts.1.points.5.examples.0.ja	今日は{大雪|おおゆき}で、{帽子|ぼうし}にも肩にも払うそばから雪が降り{積|つ}もってしまう。
ch3.parts.1.points.5.examples.1.ja	工場では新しい製品が完成するそばから{箱詰|はこづ}めされて{出荷|しゅっか}されていく。
ch3.parts.1.points.5.examples.2.ja	父は肉が焼けるそばから私たちの皿にどんどん{載|の}せてくれた。
ch3.parts.1.points.5.examples.3.ja	ゴミを片付けたそばからカラスが散らかすので、道が汚れて困る。
ch3.parts.1.points.5.forms.0	[V-る]／[V-た] + そばから
ch3.parts.1.points.5.no	31
ch3.parts.1.points.5.pattern	〜そばから
ch3.parts.1.points.5.phrase	作る**そばから**
ch3.parts.1.points.5.practice.0.items.0.answer	0
ch3.parts.1.points.5.practice.0.items.0.options.0	新しい質問を出す
ch3.parts.1.points.5.practice.0.items.0.options.1	シーンと静まり返る
ch3.parts.1.points.5.practice.0.items.0.q	学生たちは積極的なので、教師が説明するそばから（　）。
ch3.parts.1.points.5.practice.0.items.1.answer	0
